ID;Название;Предусловия;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Тип теста;Автоматизация;Покрытие автотестами;Причина непокрытия
TC-AUTH-01;Успешная авторизация с валидными данными;Приложение установлено и запущено;1. На экране авторизации в поле Login ввести валидный логин.<br>2. В поле Password ввести валидный пароль.<br>3. Нажать кнопку SIGN IN.;Происходит переход на главный экран приложения (вкладка News).;;Высокий;Функциональный;Да;Да;
TC-AUTH-02;Неуспешная авторизация с неверным паролем;Приложение установлено и запущено;1. На экране авторизации в поле Login ввести валидный логин.<br>2. В поле Password ввести невалидный пароль.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение об ошибке авторизации.;;Высокий;Функциональный;Да;Да;
TC-AUTH-03;Валидация пустого поля "Логин";Приложение установлено и запущено;1. Оставить поле Login пустым.<br>2. В поле Password ввести валидный пароль.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение о необходимости заполнить поле Login.;;Средний;Функциональный;Нет;Нет;Низкий приоритет для автоматизации. Проверка выполняется ручным тестированием.
TC-AUTH-04;Валидация пустого поля "Пароль";Приложение установлено и запущено;1. В поле Login ввести валидный логин.<br>2. Оставить поле Password пустым.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение о необходимости заполнить поле Password.;;Средний;Функциональный;Нет;Нет;Низкий приоритет для автоматизации. Проверка выполняется ручным тестированием.
TC-NAV-01;Основная навигация через боковое меню;Пользователь авторизован, находится на главном экране;1. Нажать кнопку "гамбургер" для открытия бокового меню.<br>2. Проверить, что отображаются пункты: Main, News, About.<br>3. Нажать пункт "News".<br>4. Нажать пункт "About".;1. Меню открывается.<br>2. Все три пункта видны.<br>3. Происходит переход в раздел News.<br>4. Происходит переход в раздел About.;;Высокий;Функциональный;Да;Частично;Автоматизирован только переход в "News". Переход в "About" также может быть автоматизирован, так как с главного экрана он работает корректно. Низкий приоритет для расширения покрытия.
TC-NAV-02;Проверка логики активности пунктов меню в разделе News;Пользователь авторизован и находится в разделе News;1. Открыть боковое меню (гамбургер).<br>2. Проверить состояние пункта "News".<br>3. Проверить состояние пункта "About".<br>4. Попытаться нажать пункт "About".;1. Пункт "News" должен быть неактивен (текущий раздел).<br>2. Пункт "About" должен быть активен.<br>3. Возможен переход в раздел About.;Пункт "News" активен, пункт "About" неактивен. Переход невозможен.;Высокий;Функциональный;Нет;Нет;Тест-кейс проверяет дефект (баг). Автоматизация тестов на проверку дефектов нецелесообразна до их исправления.
TC-NAV-03;Навигация через верхнюю панель;Пользователь авторизован, находится на главном экране;1. Нажать кнопку перехода в "Quotes" (иконка) на верхней панели.<br>2. Нажать кнопку "Log out" (выход) на верхней панели.;1. Происходит переход на вкладку Quotes.<br>2. Появляется диалог подтверждения/происходит выход на экран авторизации.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CRUD-01;Полный E2E сценарий: создание → просмотр → редактирование → удаление новости;Пользователь авторизован;1. Перейти в Control Panel (через кнопку карандаш в разделе News).<br>2. Нажать "+" для создания новости.<br>3. Заполнить все обязательные поля: Category, Title, Publication date, Time, Description.<br>4. Нажать SAVE.<br>5. Найти созданную новость в списке Control Panel.<br>6. Нажать кнопку редактирования (карандаш) у новости.<br>7. Изменить Title.<br>8. Нажать SAVE.<br>9. Нажать кнопку удаления (корзина) у новости.<br>10. Подтвердить удаление.;1. Новость сохраняется.<br>2. Отображается в списке.<br>3. Открывается форма редактирования с предзаполненными данными.<br>4. Изменения сохраняются.<br>5. Новость удаляется из списка.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CREATE-01;Создание новости со всеми обязательными полями;Пользователь авторизован и находится в Control Panel;1. Нажать кнопку "+" (добавить новость).<br>2. В поле Category выбрать "Объявления".<br>3. В поле Title ввести "Тестовая новость".<br>4. В поле Publication date выбрать текущую дату.<br>5. В поле Time выбрать 12:00.<br>6. В поле Description ввести "Тестовое описание новости".<br>7. Нажать кнопку SAVE.;Новость сохраняется и появляется в списке Control Panel.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CREATE-02;Валидация обязательных полей при создании новости;Пользователь авторизован и находится в Control Panel;1. Нажать кнопку "+" (добавить новость).<br>2. Оставить поле Title пустым.<br>3. Заполнить все остальные обязательные поля.<br>4. Нажать кнопку SAVE.;Появляется сообщение об ошибке/подсветка поля Title. Сохранение не происходит.;;Высокий;Функциональный;Нет;Нет;Тест проверяет негативный сценарий и UI-сообщения. Автоматизация таких проверок сложна и требует точных ассертов на текст ошибок, которые могут меняться.
